@relation gerenciadorNoticia

@attribute lema {EXCLUSIVIDADE,INOVACAO,MODA,SUSTENTABILIDADE}
@attribute participacao real
@attribute idade real
@attribute carreira {PROFESSOR,EMPRESARIO,EXECUTIVO,TECNOLOGIA,FOTOGRAFO,CONSULTORIA,ARQUITETURA,UNIVERSITARIO,ENGENHARIA,PUBLICIDADE,ASSISTENTE}
@attribute classe {A,B}
@attribute perfil {EXPLORADOR,VENCEDORES,SEGUIDORES,TRANSFORMADORES}

@data
EXCLUSIVIDADE,0.12,40,EMPRESARIO,A,VENCEDORES
INOVACAO,0.17,27,TECNOLOGIA,B,EXPLORADOR
EXCLUSIVIDADE,0.12,56,EMPRESARIO,A,VENCEDORES
MODA,0.3,32,FOTOGRAFO,B,SEGUIDORES
SUSTENTABILIDADE,0.41,31,UNIVERSITARIO,B,TRANSFORMADORES
MODA,0.3,34,ARQUITETURA,B,SEGUIDORES
EXCLUSIVIDADE,0.12,42,EMPRESARIO,A,VENCEDORES
EXCLUSIVIDADE,0.12,59,EXECUTIVO,A,VENCEDORES
MODA,0.3,22,FOTOGRAFO,B,SEGUIDORES
EXCLUSIVIDADE,0.12,57,EXECUTIVO,A,VENCEDORES
INOVACAO,0.17,22,ENGENHARIA,B,EXPLORADOR
MODA,0.3,33,ARQUITETURA,B,SEGUIDORES
SUSTENTABILIDADE,0.41,34,PROFESSOR,B,TRANSFORMADORES
MODA,0.3,29,ARQUITETURA,B,SEGUIDORES
SUSTENTABILIDADE,0.41,19,UNIVERSITARIO,B,TRANSFORMADORES
MODA,0.3,29,ARQUITETURA,B,SEGUIDORES
MODA,0.3,23,FOTOGRAFO,B,SEGUIDORES
EXCLUSIVIDADE,0.12,45,CONSULTORIA,A,VENCEDORES
INOVACAO,0.17,25,ENGENHARIA,B,EXPLORADOR
MODA,0.3,29,PUBLICIDADE,B,SEGUIDORES
INOVACAO,0.17,34,TECNOLOGIA,B,EXPLORADOR
EXCLUSIVIDADE,0.12,58,CONSULTORIA,A,VENCEDORES
SUSTENTABILIDADE,0.41,23,UNIVERSITARIO,B,TRANSFORMADORES
